NOMBRE_TERCERO,VALOR_BRUTO
CASA LUKER S. A.,292749680
SP AUTOMATIZAR S.A.S,176473602
DIANA CORPORACION S.A.S,171673800
APICOM SAS,159308700
OA AUTOMATIZACION SAS,143891843
MDALS CONTROL AUTOMATIZACION E INGENIERIA S.A.S,139583650
SOFTYS GACHANCIPA S.A,131470800
HENKEL COLOMBIANA S.A.S,123149400
TGT GAMAS S.A.S,117877900
PROYECTOS DE ENERGIA ELECTRICA Y CONTROL S.A.S,113146358
MEDICIONES Y SERVICIOS ASOCIADOS S.A.S,110692300
MECATRONID SAS,108174318
QUALA S.A,87922671
NVS AUTOMATIZACION COLOMBIA S.A.S,85929064
COMPAÑIA ELECTRICA DE SOCHAGOTA S.A. ESP,77241576
PULPAFRUIT S.A.S,72954018
PRIMADERA SAS,64730340
PREVITEC LTDA,64465800
FRESENIUS MEDICAL CARE ANDINA S.A.S,62496700
PRODUCTOS QUIMICOS PANAMERICANOS S.A.,61388300
TOVAS INGENIERIA S.A.S,58260878
SUPERMASTICK S.A.S,58251700
C I INDUSTRIAS HUMCAR S.A.S,56522000
METALARANGO LIMITADA,52984100
DOSIFICATOR S.A.S,52496600
ATB RIVA CALZONI COLOMBIA,50203800
BAVARIA & CIA S.C.A.,47732500
MEPREC SAS,43031188
PVC GERFOR S.A.S,41118700
OPERADORA DE CARBON DE SANTA MARTA S.A.S,40789100
CONSORCIO DMRCONSTRUNAL,37479400
CL INGENIERIA EN AUTOMATIZACION SAS,36639700
AUTCOL S.A.S,35632583
ASESORIAS DE MANTENIMIENTO INDUSTRIAL SAS,35432732
AAK COLOMBIA S.A.S,35317600
AUTOMATION PROCESS & ENERGY S.A.S,34831100
DECOBLOCK S.A.S ,34782600
POLLOS EL BUCANERO SA,34278000
CEMENTOS SAN MARCOS S.A.S,34190200
ALPINA PRODUCTOS ALIMENTICIOS S.A.S - BIC,34102000
CONSORCIO ACUEDUCTO LAS BLANCAS,29579956
INDUSTRIA COLOMBIANA DE MANTENIMIENTO Y MAQUINARIA S.A.S,29251200
TOT S.A.S,28446500
SYSELEC INGENIERIA SAS,27668300
SILCA SOUTH AMERICA S.A,26229800
CEMENTOS ARGOS S.A,26013000
GRADEZCO LTDA,25490000
LADRILLERA SANTA FE S.A.,24406000
PRODUCTORA DE ALAMBRES COLOMBIANOS PROALCO S.A.S,24075000
GAS INSTRUMENT SAS,23544000
SUPPLIE INDUSTRIALES S.A.S,21238200
ASESORIAS & SERVICIOS ARIZA NARVAEZ S.A.S,20693200
QUIMICA Y MINERIA INTEGRADAS S.A,20510100
ALIMENTOS BALANCEADOS TEQUENDAMA SA ALBATEQ SA,19852750
CIVITEL INGENIEROS P S.A.S,19692000
MINIPAK S.A.S,18071000
PETROWORKS S.A.S,18013600
CGS OPTIMIZE S.A.S,16844600
EL MUNDO ELECTROINDUSTRIAL C & G SAS,16664624
SOLDADURAS WEST ARCO S.A.S,16434000
CELSIA COLOMBIA S.A E.S.P,16053944
FILTRATEC DE COLOMBIA S.A.S,15604600
ELECTRO INDUSTRIALES BACATA S.A.S,15233800
GLOBE INDUSTRIES GLOBEINDUSTRIES SA,15087465
HIPER BASCULAS S.A.S,15031300
IBEROAMERICANA DE HIDROCARBUROS ENERGY COLOMBIA S.A.S,14987000
AUTOMATIZACION & CONTROL INGENIERIA LTDA,14933158
DIANA PET FOOD COLOMBIA S.A.S.,14920300
