"Nombre de la cuenta";"Sector";"Tipo";"Propietario de la cuenta";"Fecha de la última modificación"
"SOLUCIONES INDUSTRIALES MINERAS S.A.S";"OEMS";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"CONSORCIO TIM";"OEMS";"Investor";"Juan Garzón Linares";"8/04/2024"
"AFG CONTROL S.A.S";"OEMS";"Integrator";"LIZETH MARTINEZ";"15/07/2024"
"DELCO SERVICIOS Y CONSTRUCCIONES S.A.S";"OEMS";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"TECNOPACK";"OEMS";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"IP GRUPO";"OEMS";"Customer";"Juan Garzón Linares";"14/08/2025"
"OA AUTOMATIZACION";"OEMS";"Integrator";"Juan Garzón Linares";"8/04/2024"
"IPROCEL S.A";"OEMS";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"NEUMATICA Y CONTROL INDUTRIAL LTDA";"OEMS";"Customer";"MELISSA PEREZ";"19/04/2024"
"IGET S.A.S";"OEMS";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"EMOTRONICA S.A.S";"OEMS";"Customer";"JHOAN ORTIZ";"5/04/2024"
"EDWIN TRUJILLO";"OEMS";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"JORGE GARCIA";"OEMS";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"FERRY ASOCIADOS";"OEMS";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"CALDERAS CONTINENTAL S.A";"OEMS";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"NOVAFLEX";"OEMS";"Customer";"Juan Garzón Linares";"10/04/2024"
"LABORATORIO DE ENSAYOS Y VERIFICACIONES SAS";"OEMS";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"INDUSTRIAS SAGGO SAS";"OEMS";"Customer";"Juan Garzón Linares";"10/04/2024"
"Tecno Ingeniería";"OEMS";"Customer";"LIZETH MARTINEZ";"7/08/2024"
"Agroindustrial";"OEMS";"Customer";"JHOAN ORTIZ";"5/04/2024"
"TERMOPLAST";"OEMS";"Customer";"Juan Garzón Linares";"8/04/2024"
"DOING COMPANY S.A";"OEMS";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"COLCELDAS LTDA";"OEMS";"Customer";"JHOAN ORTIZ";"5/04/2024"
"DISEÑO Y AUTOMATIZACION INDUSTRIAL";"OEMS";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"ATELCRO";"OEMS";"Integrator";"Juan Garzón Linares";"22/08/2025"
"MDST MONTAJES, DISEÑOS Y SEVICIO TÉCNICO";"OEMS";"Customer";"LIZETH MARTINEZ";"11/04/2024"
"A&CON S.A.S.";"OEMS";"Prospect";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"TECNIPALMA";"OEMS";"Customer";"Juan Garzón Linares";"12/08/2025"
"ESNA CORPORACIÓN";"OEMS";"Customer";"Juan Garzón Linares";"14/08/2025"
"ECI";"OEMS";"Customer";"Juan Garzón Linares";"14/08/2025"
"ASESORÍAS DE MANTENIMIENTO INDUSTRIAL";"OEMS";"Customer";"KAREN CARRILLO";"30/04/2025"
